clip_id,chunk,split
80a01f53-83eb-47b0-aa6c-901e9d7abf56,317,test
e8221498-a35e-42a2-9e5e-1a9a0185089b,2277,test
82f9f689-6efb-4eb3-af10-070b52eeca22,2634,test
709fe679-4f3e-4938-8767-23886741c6bc,420,train
ea7bbd31-b7a5-4972-8dbd-7089e6b53de4,727,train
681c26a7-168b-400d-bcf4-c3a807ca5f8b,728,train
bd65ae5a-7c50-4d33-a953-bd382c108d04,1519,train
1ae17e2a-bc07-4e57-a04b-e9d5a372cd1e,1657,train
f2205e0b-b16f-491d-a211-e65db71d4f1c,2368,train
99baefc2-e9c3-4e84-bea9-71608e48d580,2372,train
c9c045a3-ebe9-4569-9ce3-a44068cf2e3b,2447,train
b4a2c25d-7f1c-4446-856a-a1c862af9c16,2868,train
e7471b86-88f5-40a4-9d99-a005ff13db15,214,val
7ec7451c-a58a-49bc-a3b3-70330a314434,224,val
8455d8a6-3c18-473b-90fd-a89038684c6f,276,val
b7dd3c46-ca94-4ffa-a8cf-3a13350c8aba,968,val
6fb1a5f2-fbbd-40fb-9bfa-bc3ada06e503,982,val
70d71413-d377-4836-ae6a-72f3b3bb5c49,1984,val
f4fc523c-4dd8-4728-b35d-e8aed5399028,2599,val
